Marque,Modèle,Energie,Carrosserie,Gamme
RENAULT,KANGOO,ESSENCE,COMBISPACE,INFERIEURE
DS,7 CROSSBACK,ELEC+ESSENC HR,TS TERRAINS/CHEMINS,MOYENNE SUPERIEURE
RENAULT,AUSTRAL,ESS+ELEC HNR,TS TERRAINS/CHEMINS,MOYENNE SUPERIEURE
B.M.W.,218,ESSENCE,MONOSPACE COMPACT,MOYENNE INFERIEURE
RENAULT,KADJAR,ESSENCE,TS TERRAINS/CHEMINS,MOYENNE SUPERIEURE
SKODA,OCTAVIA,GAZOLE,BERLINE,MOYENNE SUPERIEURE
B.M.W.,X5,GAZ+ELEC HNR,TS TERRAINS/CHEMINS,LUXE
JEEP,COMPASS,ELEC+ESSENC HR,TS TERRAINS/CHEMINS,MOYENNE SUPERIEURE
RENAULT,ARKANA,ESS+ELEC HNR,TS TERRAINS/CHEMINS,MOYENNE INFERIEURE
RENAULT,ARKANA,ESS+ELEC HNR,TS TERRAINS/CHEMINS,MOYENNE INFERIEURE
MINI,CLUBMAN,ESSENCE,BREAK,INFERIEURE
NISSAN,QASHQAI,ESS+ELEC HNR,TS TERRAINS/CHEMINS,MOYENNE SUPERIEURE
RENAULT,AUSTRAL,ESS+ELEC HNR,TS TERRAINS/CHEMINS,MOYENNE SUPERIEURE
B.M.W.,X3,GAZ+ELEC HNR,TS TERRAINS/CHEMINS,SUPERIEURE
VOLKSWAGEN,TIGUAN,ELEC+ESSENC HR,TS TERRAINS/CHEMINS,MOYENNE SUPERIEURE
B.M.W.,420,ESSENCE,COUPE,MOYENNE SUPERIEURE
ALFA ROMEO,GIULIA,ESSENCE,BERLINE,SUPERIEURE
RENAULT,KANGOO,ESSENCE,COMBISPACE,INFERIEURE
B.M.W.,X3,ELEC+ESSENC HR,TS TERRAINS/CHEMINS,SUPERIEURE
DACIA,DUSTER,GAZOLE,TS TERRAINS/CHEMINS,INFERIEURE
CITROEN,SPACE TOURER,GAZOLE,MINIBUS,MOYENNE INFERIEURE
KIA,RIO,ESSENCE,BERLINE,MOYENNE INFERIEURE
VOLKSWAGEN,CADDY,ESSENCE,COMBISPACE,INFERIEURE
MERCEDES,GLC 300,ELEC+GAZOLE HR,TS TERRAINS/CHEMINS,SUPERIEURE
DACIA,DUSTER,ESS+G.P.L.,TS TERRAINS/CHEMINS,INFERIEURE
DACIA,DUSTER,ESS+G.P.L.,TS TERRAINS/CHEMINS,INFERIEURE
SKODA,KAROQ,ESSENCE,TS TERRAINS/CHEMINS,MOYENNE SUPERIEURE
SEAT,ATECA,ESSENCE,TS TERRAINS/CHEMINS,MOYENNE SUPERIEURE
B.M.W.,M4,ESSENCE,CABRIOLET,LUXE
SEAT,ATECA,GAZOLE,TS TERRAINS/CHEMINS,MOYENNE SUPERIEURE
B.M.W.,220,GAZOLE,BERLINE,MOYENNE INFERIEURE
B.M.W.,118,GAZOLE,BERLINE,MOYENNE INFERIEURE
PORSCHE,MACAN,ESSENCE,TS TERRAINS/CHEMINS,SUPERIEURE
MERCEDES,CLASSE T,GAZOLE,COMBISPACE,INFERIEURE
B.M.W.,X2,GAZOLE,TS TERRAINS/CHEMINS,MOYENNE SUPERIEURE
SKODA,FABIA,ESSENCE,BERLINE,MOYENNE INFERIEURE
B.M.W.,118,GAZOLE,BERLINE,MOYENNE INFERIEURE
RENAULT,KANGOO,ESSENCE,COMBISPACE,INFERIEURE
KIA,CEED,ELEC+ESSENC HR,BREAK,MOYENNE INFERIEURE
NISSAN,QASHQAI,ESS+ELEC HNR,TS TERRAINS/CHEMINS,MOYENNE SUPERIEURE
B.M.W.,420,ESSENCE,BERLINE,MOYENNE SUPERIEURE
SKODA,OCTAVIA,GAZOLE,BREAK,MOYENNE SUPERIEURE
B.M.W.,120,GAZOLE,BERLINE,MOYENNE INFERIEURE
MERCEDES,C 220,GAZ+ELEC HNR,BERLINE,SUPERIEURE
B.M.W.,520,GAZ+ELEC HNR,BREAK,LUXE
MINI,MINI,ESSENCE,BERLINE,INFERIEURE
B.M.W.,118,ESSENCE,BERLINE,MOYENNE INFERIEURE
VOLKSWAGEN,CADDY,ESSENCE,COMBISPACE,INFERIEURE
B.M.W.,440,GAZ+ELEC HNR,CABRIOLET,MOYENNE SUPERIEURE
B.M.W.,X5,GAZ+ELEC HNR,TS TERRAINS/CHEMINS,LUXE
B.M.W.,X2,ESSENCE,TS TERRAINS/CHEMINS,MOYENNE SUPERIEURE
FORD,KUGA,ESS+ELEC HNR,TS TERRAINS/CHEMINS,MOYENNE INFERIEURE
MERCEDES,E 200,GAZOLE,CABRIOLET,LUXE
B.M.W.,M4,ESSENCE,COUPE,LUXE
MINI,COUNTRYMAN,ESSENCE,TS TERRAINS/CHEMINS,INFERIEURE
NISSAN,QASHQAI,ESS+ELEC HNR,TS TERRAINS/CHEMINS,MOYENNE SUPERIEURE
RENAULT,TRAFIC,GAZOLE,MINIBUS,MOYENNE SUPERIEURE
KIA,PROCEED,ESSENCE,BERLINE,MOYENNE INFERIEURE
PEUGEOT,2008,GAZOLE,TS TERRAINS/CHEMINS,INFERIEURE
FORD,TRANSIT CUSTOM,GAZOLE,MINIBUS,MOYENNE INFERIEURE
B.M.W.,120,GAZOLE,BERLINE,MOYENNE INFERIEURE
SEAT,ATECA,GAZOLE,TS TERRAINS/CHEMINS,MOYENNE SUPERIEURE
MERCEDES,E 200,GAZOLE,COUPE,LUXE
DACIA,SANDERO,ESSENCE,BERLINE,INFERIEURE
MINI,MINI,ESSENCE,BERLINE,INFERIEURE
FIAT,PANDA,ESS+ELEC HNR,BERLINE,INFERIEURE
MINI,MINI,ESSENCE,BERLINE,INFERIEURE
FORD,KUGA,ESS+ELEC HNR,TS TERRAINS/CHEMINS,MOYENNE INFERIEURE
CITROEN,C4,ESSENCE,BERLINE,MOYENNE INFERIEURE
VOLKSWAGEN,PASSAT,GAZOLE,BREAK,MOYENNE SUPERIEURE
MERCEDES,C 220,GAZOLE,COUPE,SUPERIEURE
PEUGEOT,2008,GAZOLE,TS TERRAINS/CHEMINS,INFERIEURE
SKODA,SCALA,ESSENCE,BERLINE,MOYENNE INFERIEURE
KIA,SPORTAGE,ELEC+ESSENC HR,TS TERRAINS/CHEMINS,MOYENNE SUPERIEURE
DACIA,SANDERO,ESSENCE,BERLINE,INFERIEURE
FORD,TOURNEO CONNECT,GAZOLE,COMBISPACE,INFERIEURE
LEXUS,RX,ESS+ELEC HNR,TS TERRAINS/CHEMINS,LUXE
VOLKSWAGEN,CADDY,GAZOLE,COMBISPACE,INFERIEURE
B.M.W.,420,GAZ+ELEC HNR,BERLINE,MOYENNE SUPERIEURE
B.M.W.,216,GAZOLE,BERLINE,MOYENNE INFERIEURE
OPEL,CORSA,ESSENCE,BERLINE,INFERIEURE
B.M.W.,118,ESSENCE,BERLINE,MOYENNE INFERIEURE
DS,4,ESSENCE,BERLINE,MOYENNE INFERIEURE
MERCEDES,S 580,ELEC+ESSENC HR,BERLINE,LUXE
RENAULT,MEGANE,ESSENCE,BREAK,MOYENNE INFERIEURE
MINI,COUNTRYMAN,ESSENCE,TS TERRAINS/CHEMINS,INFERIEURE
TOYOTA,YARIS,ESS+ELEC HNR,BERLINE,INFERIEURE
B.M.W.,X5,GAZ+ELEC HNR,TS TERRAINS/CHEMINS,LUXE
B.M.W.,X1,ESS+ELEC HNR,TS TERRAINS/CHEMINS,MOYENNE SUPERIEURE
SKODA,OCTAVIA,ESSENCE,BERLINE,MOYENNE SUPERIEURE
DACIA,LODGY,ESS+G.P.L.,MONOSPACE COMPACT,MOYENNE INFERIEURE
RENAULT,CAPTUR,ESS+ELEC HNR,TS TERRAINS/CHEMINS,INFERIEURE
PEUGEOT,208,ESSENCE,BERLINE,INFERIEURE
PEUGEOT,5008,GAZOLE,TS TERRAINS/CHEMINS,MOYENNE INFERIEURE
SKODA,OCTAVIA,ESSENCE,BERLINE,MOYENNE SUPERIEURE
RENAULT,CLIO,ESSENCE,BERLINE,INFERIEURE
MINI,MINI,ESSENCE,BERLINE,INFERIEURE
MERCEDES,VITO,GAZOLE,MINIBUS,MOYENNE INFERIEURE
B.M.W.,116,ESSENCE,BERLINE,MOYENNE INFERIEURE
B.M.W.,X4,GAZ+ELEC HNR,TS TERRAINS/CHEMINS,SUPERIEURE
SUZUKI,SX4,ESS+ELEC HNR,TS TERRAINS/CHEMINS,INFERIEURE
TOYOTA,COROLLA,ESS+ELEC HNR,BERLINE,MOYENNE INFERIEURE
B.M.W.,118,GAZOLE,BERLINE,MOYENNE INFERIEURE
MERCEDES,GLC 300,ELEC+GAZOLE HR,TS TERRAINS/CHEMINS,SUPERIEURE
B.M.W.,116,ESSENCE,BERLINE,MOYENNE INFERIEURE
MERCEDES,S 400,GAZOLE,BERLINE,LUXE
SEAT,ATECA,GAZOLE,TS TERRAINS/CHEMINS,MOYENNE SUPERIEURE
VOLKSWAGEN,TIGUAN,GAZOLE,TS TERRAINS/CHEMINS,MOYENNE SUPERIEURE
B.M.W.,218,GAZOLE,BERLINE,MOYENNE INFERIEURE
LAND ROVER,RANGE ROVER EVOQUE,ELEC+ESSENC HR,TS TERRAINS/CHEMINS,MOYENNE SUPERIEURE
RENAULT,CLIO,ESS+ELEC HNR,BERLINE,INFERIEURE
VOLVO,XC60,GAZ+ELEC HNR,TS TERRAINS/CHEMINS,SUPERIEURE
RENAULT,MEGANE,ESSENCE,BERLINE,MOYENNE INFERIEURE
FORD,TOURNEO CONNECT,GAZOLE,COMBISPACE,INFERIEURE
MINI,MINI,ESSENCE,BERLINE,INFERIEURE
VOLVO,XC60,ESS+ELEC HNR,TS TERRAINS/CHEMINS,SUPERIEURE
FORD,PUMA,ESS+ELEC HNR,TS TERRAINS/CHEMINS,INFERIEURE
DS,7 CROSSBACK,ELEC+ESSENC HR,TS TERRAINS/CHEMINS,MOYENNE SUPERIEURE
B.M.W.,420,ESSENCE,CABRIOLET,MOYENNE SUPERIEURE
VOLKSWAGEN,TIGUAN,GAZOLE,TS TERRAINS/CHEMINS,MOYENNE SUPERIEURE
VOLVO,XC90,GAZ+ELEC HNR,TS TERRAINS/CHEMINS,LUXE
B.M.W.,118,GAZOLE,BERLINE,MOYENNE INFERIEURE
VOLKSWAGEN,GOLF,GAZOLE,BERLINE,MOYENNE INFERIEURE
